"id","loc_rack","loc_row","loc_case"
"product.product_part_376","02-06",,"Store ชั้น 2"
"product.product_part_377","02-06",,"Store ชั้น 2"
"product.product_part_378","02-06",,"Store ชั้น 2"
"product.product_part_379","02-06",,"Store ชั้น 2"
"product.product_part_380","ซิลิโคน",,"ห้องเคมี"
"product.product_part_381","02-06",,"Store ชั้น 2"
"product.product_part_382","02-06",,"Store ชั้น 2"
"product.product_part_383","02-09",,"Store ชั้น 2"
"product.product_part_384","02-06",,"Store ชั้น 2"
"product.product_part_385","02-06",,"Store ชั้น 2"
"product.product_part_386","02-06",,"Store ชั้น 2"
"product.product_part_387","02-06",,"Store ชั้น 2"
"product.product_part_388","02-07",,"Store ชั้น 2"
"product.product_part_389","ซิลิโคน",,"ห้องเคมี"
"product.product_part_390","Palete",,"Store ชั้น 2"
"product.product_part_391","02-10",,"Store ชั้น 2"
"product.product_part_392","02-07",,"Store ชั้น 2"
"product.product_part_393","02-11",,"Store ชั้น 2"
"product.product_part_394","Palete",,"ด้านล่าง"
"product.product_part_395","Palete",,"Store ชั้น 2 New"
"product.product_part_396","Palete",,"Store ชั้น 2 New"
"product.product_part_397","Palete",,"Store ชั้น 2 New"
"product.product_part_398","Palete",,"Store ชั้น 2 New"
"product.product_part_399","02-07",,"Store ชั้น 2"
"product.product_part_400",,,"ไม่มีของ"
"product.product_part_401",,,"ไม่มีของ"
"product.product_part_402","กระจก",,"โกดังคอยล์"
"product.product_part_403","02-07",,"Store ชั้น 2"
"product.product_part_404","02-12",,"Store ชั้น 2"
"product.product_part_405","02-07",,"Store ชั้น 2"
"product.product_part_406","02-07",,"Store ชั้น 2"
"product.product_part_407",,,"ไม่มีของ"
"product.product_part_408","02-07",,"Store ชั้น 2"
"product.product_part_409","02-01",,"Store ชั้น 2"
"product.product_part_410","กระจก",,"โกดังคอยล์"
"product.product_part_411","02-09",,"Store ชั้น 2"
"product.product_part_412","02-08",,"Store ชั้น 2"
"product.product_part_413","04-09",,"ออฟฟิสสโตร์"
"product.product_part_414","04-09",,"ออฟฟิสสโตร์"
"product.product_part_415","04-09",,"ออฟฟิสสโตร์"
"product.product_part_416","ข้างห้องเคมี",,"ด้านล่าง"
"product.product_part_417","02-08",,"Store ชั้น 2"
"product.product_part_418","02-09",,"Store ชั้น 2"
"product.product_part_419","02-08",,"Store ชั้น 2"
"product.product_part_420","02-08",,"Store ชั้น 2"
"product.product_part_421","02-08",,"Store ชั้น 2"
"product.product_part_422",,,"ไม่มีของ"
"product.product_part_423","Palete",,"Store ชั้น 2 New"
"product.product_part_424","Palete",,"Store ชั้น 2 New"
"product.product_part_425","02-09",,"Store ชั้น 2"
"product.product_part_426","02-09",,"Store ชั้น 2"
"product.product_part_427",,,"ไม่มีของ"
"product.product_part_428","02-07",,"Store ชั้น 2"
"product.product_part_429","Palete",,"Store ชั้น 2 New"
"product.product_part_430","Palete",,"Store ชั้น 2"
"product.product_part_431","Palete",,"Store ชั้น 2"
"product.product_part_432","Palete",,"Store ชั้น 2 New"
"product.product_part_433","02-10",,"Store ชั้น 2"
"product.product_part_434","02-10",,"Store ชั้น 2"
"product.product_part_435","02-11",,"Store ชั้น 2"
"product.product_part_436","02-09",,"Store ชั้น 2"
"product.product_part_437","02-09",,"Store ชั้น 2"
"product.product_part_438","02-10",,"Store ชั้น 2"
"product.product_part_439","02-10",,"Store ชั้น 2"
"product.product_part_440","02-11",,"Store ชั้น 2"
"product.product_part_441","02-12",,"Store ชั้น 2"
"product.product_part_442","02-12",,"Store ชั้น 2"
"product.product_part_443","02-10",,"Store ชั้น 2"
"product.product_part_444","02-10",,"Store ชั้น 2"
"product.product_part_445","Palete",,
"product.product_part_446","02-09",,"Store ชั้น 2"
"product.product_part_447",,,"ไม่มีของ"
"product.product_part_448","02-11",,"Store ชั้น 2"
"product.product_part_449","02-11",,"Store ชั้น 2"
"product.product_part_450","02-11",,"Store ชั้น 2"
"product.product_part_451","02-11",,"Store ชั้น 2"
"product.product_part_452","02-11",,"Store ชั้น 2"
"product.product_part_453","02-11",,"Store ชั้น 2"
"product.product_part_454","02-11",,"Store ชั้น 2"
"product.product_part_455","02-11",,"Store ชั้น 2"
"product.product_part_456","02-11",,"Store ชั้น 2"
"product.product_part_457","02-11",,"Store ชั้น 2"
"product.product_part_458","02-11",,"Store ชั้น 2"
"product.product_part_459","02-11",,"Store ชั้น 2"
"product.product_part_460","02-11",,"Store ชั้น 2"
"product.product_part_461","02-11",,"Store ชั้น 2"
"product.product_part_461-1","02-11",,"Store ชั้น 2"
"product.product_part_462","Palete",,"Store ชั้น 2"
"product.product_part_463","Palete",,"Store ชั้น 2"
"product.product_part_464","03-01",,"Store ชั้น 2"
"product.product_part_465","03-01",,"Store ชั้น 2"
"product.product_part_466","03-06",,"Store ชั้น 2"
"product.product_part_467",,,"โกดังคอยล์"
"product.product_part_468",,,"โกดังคอยล์"
"product.product_part_469","Palete",,"Store ชั้น 2"
"product.product_part_470","Palete",,"Store ชั้น 2"
"product.product_part_471","03-01",,"Store ชั้น 2"
"product.product_part_472","03-05",,"Store ชั้น 2"
"product.product_part_473","Palete",,"ด้านล่าง"
"product.product_part_474","03-05",,"Store ชั้น 2"
"product.product_part_475","03-01",,"Store ชั้น 2"
"product.product_part_476","03-06",,"Store ชั้น 2"
"product.product_part_477","Palete",,"Store ชั้น 2 New"
"product.product_part_478","03-01",,"Store ชั้น 2"
"product.product_part_479","Palete",,"Store ชั้น 2"
"product.product_part_480","03-01",,"Store ชั้น 2"
"product.product_part_481","Palete",,"Store ชั้น 2"
"product.product_part_482","ซิลิโคน",,"ห้องเคมี"
"product.product_part_483","ซิลิโคน",,"ห้องเคมี"
"product.product_part_484","03-06",,"Store ชั้น 2"
"product.product_part_485","03-06",,"Store ชั้น 2"
"product.product_part_486","03-06",,"Store ชั้น 2"
"product.product_part_487","03-06",,"Store ชั้น 2"
"product.product_part_488","03-06",,"Store ชั้น 2"
"product.product_part_489","03-06",,"Store ชั้น 2"
"product.product_part_490","03-06",,"Store ชั้น 2"
"product.product_part_491","03-06",,"Store ชั้น 2"
"product.product_part_492","03-01",,"Store ชั้น 2"
"product.product_part_493","03-03",,"Store ชั้น 2"
"product.product_part_494","Palete",,"Store ชั้น 2 New"
"product.product_part_495","03-06",,"Store ชั้น 2"
"product.product_part_496","03-06",,"Store ชั้น 2"
"product.product_part_497","03-06",,"Store ชั้น 2"
"product.product_part_498","03-02",,"Store ชั้น 2"
"product.product_part_499","03-02",,"Store ชั้น 2"
"product.product_part_500","03-02",,"Store ชั้น 2"
"product.product_part_501","03-02",,"Store ชั้น 2"
"product.product_part_502",,,"โกดังคอยล์"
"product.product_part_503",,,"ไม่มีของ"
"product.product_part_504","Palete",,"Store ชั้น 2"
"product.product_part_505","03-02",,"Store ชั้น 2"
"product.product_part_506","03-06",,"Store ชั้น 2"
"product.product_part_507","03-02",,"Store ชั้น 2"
"product.product_part_508","03-02",,"Store ชั้น 2"
"product.product_part_509","03-02",,"Store ชั้น 2"
"product.product_part_510","03-02",,"Store ชั้น 2"
"product.product_part_511","03-02",,"Store ชั้น 2"
"product.product_part_512","03-02",,"Store ชั้น 2"
"product.product_part_513","03-02",,"Store ชั้น 2"
"product.product_part_514","03-02",,"Store ชั้น 2"
"product.product_part_515","03-02",,"Store ชั้น 2"
"product.product_part_516","03-02",,"Store ชั้น 2"
"product.product_part_517","03-02",,"Store ชั้น 2"
"product.product_part_518","03-02",,"Store ชั้น 2"
"product.product_part_519","03-02",,"Store ชั้น 2"
"product.product_part_520","03-02",,"Store ชั้น 2"
"product.product_part_521","03-02",,"Store ชั้น 2"
"product.product_part_522","03-02",,"Store ชั้น 2"
"product.product_part_523","03-02",,"Store ชั้น 2"
"product.product_part_524","03-02",,"Store ชั้น 2"
"product.product_part_525","03-02",,"Store ชั้น 2"
"product.product_part_526","03-02",,"Store ชั้น 2"
"product.product_part_527","03-02",,"Store ชั้น 2"
"product.product_part_528","03-02",,"Store ชั้น 2"
"product.product_part_529","03-02",,"Store ชั้น 2"
"product.product_part_530","03-02",,"Store ชั้น 2"
"product.product_part_531","03-03",,"Store ชั้น 2"
"product.product_part_532","03-03",,"Store ชั้น 2"
"product.product_part_533","03-03",,"Store ชั้น 2"
"product.product_part_534","03-03",,"Store ชั้น 2"
"product.product_part_535","03-03",,"Store ชั้น 2"
"product.product_part_536","03-03",,"Store ชั้น 2"
"product.product_part_537","03-03",,"Store ชั้น 2"
"product.product_part_538","03-03",,"Store ชั้น 2"
"product.product_part_539","03-03",,"Store ชั้น 2"
"product.product_part_540","03-03",,"Store ชั้น 2"
"product.product_part_541","03-03",,"Store ชั้น 2"
"product.product_part_542",,,
"product.product_part_543","03-03",,"Store ชั้น 2"
"product.product_part_544","03-03",,"Store ชั้น 2"
"product.product_part_545","03-03",,"Store ชั้น 2"
"product.product_part_546","03-03",,"Store ชั้น 2"
"product.product_part_547","03-03",,"Store ชั้น 2"
"product.product_part_548","03-03",,"Store ชั้น 2"
"product.product_part_549","03-03",,"Store ชั้น 2"
"product.product_part_550","03-03",,"Store ชั้น 2"
"product.product_part_551",,,"ไม่มีของ"
"product.product_part_552",,,"ไม่มีของ"
"product.product_part_553","สีฝุ่น",,"ห้องเคมี"
"product.product_part_554","Palete",,"Store ชั้น 2 New"
"product.product_part_555","สีฝุ่น",,"ห้องเคมี"
"product.product_part_556","03-03",,"Store ชั้น 2"
"product.product_part_557","03-04",,"Store ชั้น 2"
"product.product_part_558","03-04",,"Store ชั้น 2"
"product.product_part_559",,,"ไม่มีของ"
"product.product_part_560",,,"ไม่มีของ"
"product.product_part_561","Palete",,"Store ชั้น 2 New"
"product.product_part_562",,,"โกดังอะลูมิเนียม"
"product.product_part_563","สีฝุ่น",,"ห้องเคมี"
"product.product_part_564","Palete",,"Store ชั้น 2"
"product.product_part_565",,,"Store ชั้น 2"
"product.product_part_566","03-04",,"Store ชั้น 2"
"product.product_part_567","03-04",,"Store ชั้น 2"
"product.product_part_568","03-04",,"Store ชั้น 2"
"product.product_part_569","03-04",,"Store ชั้น 2"
"product.product_part_570","03-04",,"Store ชั้น 2"
"product.product_part_571","03-04",,"Store ชั้น 2"
"product.product_part_572","ซิลิโคน",,"ห้องเคมี"
"product.product_part_573","03-04",,"Store ชั้น 2"
"product.product_part_574","03-04",,"Store ชั้น 2"
"product.product_part_575","03-04",,"Store ชั้น 2"
"product.product_part_576","03-05",,"Store ชั้น 2"
"product.product_part_577","03-04",,"Store ชั้น 2"
"product.product_part_578","สีฝุ่น",,"ห้องเคมี"
"product.product_part_579","สีฝุ่น",,"ห้องเคมี"
"product.product_part_580","สีฝุ่น",,"ห้องเคมี"
"product.product_part_581","Palete",,"Store ชั้น 2 New"
"product.product_part_582","03-04",,"Store ชั้น 2"
"product.product_part_583","สีฝุ่น",,"ห้องเคมี"
"product.product_part_584","สีฝุ่น",,"ห้องเคมี"
"product.product_part_585","สีฝุ่น",,"ห้องเคมี"
"product.product_part_586","Palete",,"ด้านล่าง"
"product.product_part_587","Palete",,"Store ชั้น 2"
"product.product_part_588","03-04",,"Store ชั้น 2"
"product.product_part_589","03-04",,"Store ชั้น 2"
"product.product_part_590","Palete",,"Store ชั้น 2"
"product.product_part_591","Palete",,"Store ชั้น 2"
"product.product_part_592","03-06",,"Store ชั้น 2"
"product.product_part_593","03-05",,"Store ชั้น 2"
"product.product_part_594","03-05",,"Store ชั้น 2"
"product.product_part_595","03-05",,"Store ชั้น 2"
"product.product_part_596","Palete",,"Store ชั้น 2 New"
"product.product_part_597","03-06",,"Store ชั้น 2"
"product.product_part_598","03-06",,"Store ชั้น 2"
"product.product_part_599","04-10",,"Store ชั้น 2"
"product.product_part_600","04-10",,"Store ชั้น 2"
"product.product_part_601","04-10",,"Store ชั้น 2"
"product.product_part_602","04-10",,"Store ชั้น 2"
"product.product_part_603","04-10",,"Store ชั้น 2"
"product.product_part_604","04-03",,"โกดังเก็บพีวีซี"
"product.product_part_605","04-10",,"โกดังเก็บพีวีซี"
"product.product_part_606","04-08",,"โกดังเก็บพีวีซี"
"product.product_part_607","04-20",,"โกดังเก็บพีวีซี"
"product.product_part_608","04-20",,"โกดังเก็บพีวีซี"
"product.product_part_609","04-04",,"โกดังเก็บพีวีซี"
"product.product_part_610","04-01",,"โกดังเก็บพีวีซี"
"product.product_part_611","04-01",,"โกดังเก็บพีวีซี"
"product.product_part_612","04-08",,"โกดังเก็บพีวีซี"
"product.product_part_613","04-19",,"โกดังเก็บพีวีซี"
"product.product_part_614","Palete",,"Store ชั้น 2 New"
"product.product_part_615","04-16",,"โกดังเก็บพีวีซี"
"product.product_part_616","Palete",,"Store ชั้น 2"
"product.product_part_617","Palete",,"Store ชั้น 2"
"product.product_part_618","Palete",,"Store ชั้น 2 New"
"product.product_part_619","Palete",,"Store ชั้น 2 New"
"product.product_part_620","Palete",,"Store ชั้น 2 New"
"product.product_part_621","Palete",,"Store ชั้น 2 New"
"product.product_part_622","04-04",,"Store ชั้น 2"
"product.product_part_623","04-14",,"โกดังเก็บพีวีซี"
"product.product_part_624","04-07",,"โกดังเก็บพีวีซี"
"product.product_part_625","04-03",,"โกดังเก็บพีวีซี"
"product.product_part_626","04-22",,"โกดังเก็บพีวีซี"
"product.product_part_627","04-05",,"โกดังเก็บพีวีซี"
"product.product_part_628","04-14",,"โกดังเก็บพีวีซี"
"product.product_part_629","04-07",,"โกดังเก็บพีวีซี"
"product.product_part_630","04-14",,"โกดังเก็บพีวีซี"
"product.product_part_631","04-04",,"Store ชั้น 2"
"product.product_part_632","04-07",,"โกดังเก็บพีวีซี"
"product.product_part_633","04-07",,"โกดังเก็บพีวีซี"
"product.product_part_634","04-02",,"โกดังเก็บพีวีซี"
"product.product_part_635","04-06",,"โกดังเก็บพีวีซี"
"product.product_part_636",,,"โกดังเก็บพีวีซี"
"product.product_part_637","04-01",,"Store ชั้น 2"
"product.product_part_638","04-01",,"Store ชั้น 2"
"product.product_part_639","04-01",,"Store ชั้น 2"
"product.product_part_640","04-07",,"Store ชั้น 2"
"product.product_part_641","04-02",,"Store ชั้น 2"
"product.product_part_642","04-02",,"Store ชั้น 2"
"product.product_part_643","04-02",,"Store ชั้น 2"
"product.product_part_644","04-08",,"Store ชั้น 2"
"product.product_part_645",,,"โกดังเก็บพีวีซี"
"product.product_part_646","04-01",,"โกดังเก็บพีวีซี"
"product.product_part_647","04-01",,"โกดังเก็บพีวีซี"
"product.product_part_648","04-05",,"โกดังเก็บพีวีซี"
"product.product_part_649","04-04",,"Store ชั้น 2"
"product.product_part_650","04-04",,"Store ชั้น 2"
"product.product_part_651","หน้าห้องเคมี",,"โกดังเก็บพีวีซี"
"product.product_part_652","04-04",,"Store ชั้น 2"
"product.product_part_653",,,"ไม่มีของ"
"product.product_part_654","04-03",,"Store ชั้น 2"
"product.product_part_655","04-03",,"Store ชั้น 2"
"product.product_part_656","04-01",,"โกดังเก็บพีวีซี"
"product.product_part_657","04-06",,"โกดังเก็บพีวีซี"
"product.product_part_658","04-07",,"Store ชั้น 2"
"product.product_part_659","04-05",,"Store ชั้น 2"
"product.product_part_660","04-05",,"Store ชั้น 2"
"product.product_part_661","04-05",,"Store ชั้น 2"
"product.product_part_662","04-05",,"Store ชั้น 2"
"product.product_part_663",,,"โกดังเก็บพีวีซี"
"product.product_part_664",,,"โกดังเก็บพีวีซี"
"product.product_part_665","04-05",,"Store ชั้น 2"
"product.product_part_666","04-03",,"โกดังเก็บพีวีซี"
"product.product_part_667","04-08",,"Store ชั้น 2"
"product.product_part_668","04-08",,"Store ชั้น 2"
"product.product_part_669","04-21",,"โกดังเก็บพีวีซี"
"product.product_part_670","04-08",,"Store ชั้น 2"
"product.product_part_671","04-06",,"Store ชั้น 2"
"product.product_part_672","04-08",,"โกดังเก็บพีวีซี"
"product.product_part_673","04-02",,"โกดังเก็บพีวีซี"
"product.product_part_674","04-05",,"โกดังเก็บพีวีซี"
"product.product_part_675","04-06",,"Store ชั้น 2"
"product.product_part_676","04-06",,"Store ชั้น 2"
"product.product_part_677","04-06",,"Store ชั้น 2"
"product.product_part_678","04-09",,"โกดังเก็บพีวีซี"
"product.product_part_679","04-10",,"โกดังเก็บพีวีซี"
"product.product_part_680","04-06",,"Store ชั้น 2"
"product.product_part_681","Palete",,"Store ชั้น 2 New"
"product.product_part_682","Palete",,"Store ชั้น 2 New"
"product.product_part_683","Palete",,"Store ชั้น 2 New"
"product.product_part_684","Palete",,"Store ชั้น 2 New"
"product.product_part_685","Palete",,"Store ชั้น 2 New"
"product.product_part_686","Palete",,"Store ชั้น 2 New"
"product.product_part_687","น้ำยาโฟม",,"ห้องเคมี"
"product.product_part_688","น้ำยาโฟม",,"ตู้คอนเทรนเนอร์"
"product.product_part_689","น้ำยาโฟม",,"ตู้คอนเทรนเนอร์"
"product.product_part_690","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_691","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_692","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_693","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_694","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_695","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_696","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_697","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_698","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_699","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_700","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_701","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_702","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_703","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_704","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_705","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_706","เหล็ก",,"โกดังเก็บคอยล์"
"product.product_part_707","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_708",,,"โกดังอะลูมิเนียม"
"product.product_part_710","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_711","01-20",,"โกดังอะลูมิเนียม"
"product.product_part_712","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_713","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_714",,,"โกดังอะลูมิเนียม"
"product.product_part_715","01-08",,"โกดังอะลูมิเนียม"
"product.product_part_716","01-21",,"โกดังอะลูมิเนียม"
"product.product_part_717","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_718",,,"โกดังอะลูมิเนียม"
"product.product_part_719","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_720","01-16",,"โกดังอะลูมิเนียม"
"product.product_part_721",,,"โกดังอะลูมิเนียม"
"product.product_part_722","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_723","01-11",,"โกดังอะลูมิเนียม"
"product.product_part_724","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_725","01-10",,"โกดังอะลูมิเนียม"
"product.product_part_726","01-07",,"โกดังอะลูมิเนียม"
"product.product_part_727","01-14",,"โกดังอะลูมิเนียม"
"product.product_part_728","01-19",,"โกดังอะลูมิเนียม"
"product.product_part_729",,,"โกดังอะลูมิเนียม"
"product.product_part_730","01-02",,"โกดังอะลูมิเนียม"
"product.product_part_731","01-22",,"โกดังอะลูมิเนียม"
"product.product_part_732","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_733",,,"โกดังอะลูมิเนียม"
"product.product_part_734","01-06",,"โกดังอะลูมิเนียม"
"product.product_part_735","01-03",,"โกดังอะลูมิเนียม"
"product.product_part_736","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_737","01-14",,"โกดังอะลูมิเนียม"
"product.product_part_738",,,"โกดังอะลูมิเนียม"
"product.product_part_739","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_740","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_742","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_743","01-05",,"โกดังอะลูมิเนียม"
"product.product_part_744","01-12",,"โกดังอะลูมิเนียม"
"product.product_part_745",,,"โกดังอะลูมิเนียม"
"product.product_part_746","01-04",,"โกดังอะลูมิเนียม"
"product.product_part_747","01-22",,"โกดังอะลูมิเนียม"
"product.product_part_748",,,"โกดังอะลูมิเนียม"
"product.product_part_749","01-13",,"โกดังอะลูมิเนียม"
"product.product_part_750","01-18",,"โกดังอะลูมิเนียม"
"product.product_part_751",,,"โกดังอะลูมิเนียม"
"product.product_part_752","02-06",,"Store ชั้น 2"
"product.product_part_753",,,
"product.product_part_754",,,
"product.product_part_755",,,
"product.product_part_756",,,
"product.product_part_757",,,
"product.product_part_758",,,
"product.product_part_759",,,
"product.product_part_760",,,
"product.product_part_761",,,
